,control,control+scarf,control+scarf_ae,mixup,mixup+scarf,mixup+scarf_ae,label_smooth,label_smooth+scarf,label_smooth+scarf_ae
control,,0.0,,,0.0,,,0.0,
control+scarf,1.0,,,1.0,,,,,
control+scarf_ae,,,,,,,,,
mixup,,0.0,,,0.0,,,0.0,
mixup+scarf,1.0,,,1.0,,,,,
mixup+scarf_ae,,,,,,,,,
label_smooth,,,,,,,,,
label_smooth+scarf,1.0,,,1.0,,,,,
label_smooth+scarf_ae,,,,,,,,,
