dataset,method,mean_acc,std_acc,n_trials
wine,control,0.7499999970197677,0.1916465314095751,10
wine,control+scarf,0.9194444358348847,0.03818812515502293,10
wine,control+scarf_ae,0.8805555582046509,0.054220063634069664,10
wine,label_smooth,0.816666665673256,0.1775171737856456,10
wine,label_smooth+scarf,0.9055555582046508,0.0682677989795841,10
wine,label_smooth+scarf_ae,0.8638888895511627,0.0770301346259544,10
wine,mixup,0.7694444417953491,0.15862545510120446,10
wine,mixup+scarf,0.9055555582046508,0.05583263693586862,10
wine,mixup+scarf_ae,0.8944444358348846,0.07005287762411957,10
