dataset,method,mean_acc,std_acc,n_trials
wine,control,0.9138888776302337,0.0696663086266574,10
wine,control+scarf,0.9527777671813965,0.021695128491540424,10
wine,control+scarf_ae,0.9249999940395355,0.05277777627894921,10
wine,label_smooth,0.9555555403232574,0.035572913567911216,10
wine,label_smooth+scarf,0.9111111044883728,0.059317093956861085,10
wine,label_smooth+scarf_ae,0.9333333194255828,0.05152010225285129,10
wine,mixup,0.952777773141861,0.027916311350876362,10
wine,mixup+scarf,0.9333333313465119,0.01842567510859694,10
wine,mixup+scarf_ae,0.9138888835906982,0.053359355613120274,10
