,scarf,scarf_ae
control,0.29150090371861825,-2.6430915244813153
dropout,1.8186500762857525,-7.886113092302784
mixup,0.927561247053041,2.136466651945415
label_smooth,-2.9138229684547325,-4.429879969833047
distill,8.87473365552188,-4.953318054781312
self_train,1.0310910644214442,-2.2878314469244474
tri_train,2.0060710533600337,9.564281367817408
