ablation,dataset,variant,mean_acc,std_acc,n_trials
corruption_strategies,glass,feature_dropout_minmax,0.42424243688583374,0.042854957712725565,3
corruption_strategies,pima-diabetes,feature_dropout_minmax,0.7683982650438944,0.02007274663306781,3
corruption_strategies,sonar,feature_dropout_minmax,0.6190476417541504,0.07776157450102261,3
corruption_strategies,wine,feature_dropout_minmax,0.8425925970077515,0.0944262777640334,3
corruption_strategies,glass,feature_dropout_zscore,0.6818181872367859,0.08088696305226724,3
corruption_strategies,pima-diabetes,feature_dropout_zscore,0.7857142686843872,0.023110567252060715,3
corruption_strategies,sonar,feature_dropout_zscore,0.817460318406423,0.07360013383295982,3
corruption_strategies,wine,feature_dropout_zscore,0.9166666666666666,0.039283700699952975,3
corruption_strategies,glass,gaussian_minmax,0.5757575730482737,0.08367698304457347,3
corruption_strategies,pima-diabetes,gaussian_minmax,0.7121212085088094,0.0463223653171939,3
corruption_strategies,sonar,gaussian_minmax,0.658730169137319,0.040468410322412614,3
corruption_strategies,wine,gaussian_minmax,0.8796296318372091,0.06928993685691491,3
corruption_strategies,glass,gaussian_zscore,0.47727272907892865,0.06690727622268246,3
corruption_strategies,pima-diabetes,gaussian_zscore,0.7575757503509521,0.03239528708543599,3
corruption_strategies,sonar,gaussian_zscore,0.7539682586987814,0.05611956841451867,3
corruption_strategies,wine,gaussian_zscore,0.9537037014961243,0.034644971083463934,3
corruption_strategies,glass,joint_minmax,0.4166666766007741,0.038628935886149005,3
corruption_strategies,pima-diabetes,joint_minmax,0.7554112474123637,0.031958477334355063,3
corruption_strategies,sonar,joint_minmax,0.7539682586987814,0.011223930541643138,3
corruption_strategies,wine,joint_minmax,0.8425925970077515,0.05707791209041714,3
corruption_strategies,glass,joint_zscore,0.5151515007019043,0.06516911716309733,3
corruption_strategies,pima-diabetes,joint_zscore,0.7727272709210714,0.021207686651696242,3
corruption_strategies,sonar,joint_zscore,0.7539682586987814,0.11718112975978398,3
corruption_strategies,wine,joint_zscore,0.9166666666666666,0.039283700699952975,3
corruption_strategies,glass,marginal_minmax,0.42424242695172626,0.046700098611482346,3
corruption_strategies,pima-diabetes,marginal_minmax,0.7316017349561056,0.04414734360902379,3
corruption_strategies,sonar,marginal_minmax,0.6349206368128458,0.11718112706849336,3
corruption_strategies,wine,marginal_minmax,0.8611111243565878,0.07856740139990594,3
corruption_strategies,glass,marginal_zscore,0.5757575730482737,0.10220254524760276,3
corruption_strategies,pima-diabetes,marginal_zscore,0.7597402532895406,0.015905758905401312,3
corruption_strategies,sonar,marginal_zscore,0.6904761989911398,0.10823951771481266,3
