ablation,dataset,variant,mean_acc,std_acc,n_trials
corruption_rate,openml_1489_phonemes,rate_10,0.8552,0.0054,3
corruption_rate,openml_1489_phonemes,rate_20,0.8580,0.0076,3
corruption_rate,openml_1489_phonemes,rate_30,0.8728,0.0081,3
corruption_rate,openml_1489_phonemes,rate_40,0.8577,0.0082,3
corruption_rate,openml_1489_phonemes,rate_50,0.8648,0.0042,3
corruption_rate,openml_1489_phonemes,rate_60,0.8564,0.0086,3
corruption_rate,openml_1489_phonemes,rate_70,0.8595,0.0153,3
corruption_rate,openml_1489_phonemes,rate_80,0.8614,0.0023,3
corruption_rate,openml_1489_phonemes,rate_90,0.8552,0.0050,3
