ablation,dataset,variant,mean_acc,std_acc,n_trials
corruption_strategies,glass,feature_dropout_minmax,0.5454545418421427,0.13381455244536491,3
corruption_strategies,pima-diabetes,feature_dropout_minmax,0.7489177584648132,0.018619732913247613,3
corruption_strategies,sonar,feature_dropout_minmax,0.5952380895614624,0.0673434989561618,3
corruption_strategies,wine,feature_dropout_minmax,0.805555542310079,0.14163942443900385,3
corruption_strategies,glass,feature_dropout_zscore,0.5984848539034525,0.07025469141496976,3
corruption_strategies,pima-diabetes,feature_dropout_zscore,0.7575757702191671,0.025055905531073213,3
corruption_strategies,sonar,feature_dropout_zscore,0.8015873034795126,0.029695681155817503,3
corruption_strategies,wine,feature_dropout_zscore,0.9537037014961243,0.0472131388820167,3
corruption_strategies,glass,gaussian_minmax,0.5075757602850596,0.02834589943102195,3
corruption_strategies,pima-diabetes,gaussian_minmax,0.7186147173245748,0.029200717535664313,3
corruption_strategies,sonar,gaussian_minmax,0.6984126965204874,0.07856741745584947,3
corruption_strategies,wine,gaussian_minmax,0.9166666666666666,0.06000685934050225,3
corruption_strategies,glass,gaussian_zscore,0.4848484893639882,0.05669178558703461,3
corruption_strategies,pima-diabetes,gaussian_zscore,0.7748917539914449,0.01619765681772683,3
corruption_strategies,sonar,gaussian_zscore,0.7936507860819498,0.040468410322412614,3
corruption_strategies,wine,gaussian_zscore,0.9814814726511637,0.02618915253190132,3
corruption_strategies,glass,joint_minmax,0.5227272808551788,0.10331957122311711,3
corruption_strategies,pima-diabetes,joint_minmax,0.7251082062721252,0.06325384408062014,3
corruption_strategies,sonar,joint_minmax,0.7301587263743082,0.09187172970555364,3
corruption_strategies,wine,joint_minmax,0.9074074029922485,0.0916619776658566,3
corruption_strategies,glass,joint_zscore,0.5530303120613098,0.0467001098921578,3
corruption_strategies,pima-diabetes,joint_zscore,0.7705627679824829,0.018619732913247613,3
corruption_strategies,sonar,joint_zscore,0.7777777711550394,0.07360013383295982,3
corruption_strategies,wine,joint_zscore,0.935185174147288,0.013094548168051652,3
corruption_strategies,glass,marginal_minmax,0.42424242695172626,0.010713742940418765,3
corruption_strategies,pima-diabetes,marginal_minmax,0.7554112672805786,0.04285494567077011,3
corruption_strategies,sonar,marginal_minmax,0.6984126965204874,0.06249211721286949,3
corruption_strategies,wine,marginal_minmax,0.8425925771395365,0.10718367979348188,3
corruption_strategies,glass,marginal_zscore,0.5984848539034525,0.059651573426793614,3
corruption_strategies,pima-diabetes,marginal_zscore,0.7813852628072103,0.031066461531023524,3
corruption_strategies,sonar,marginal_zscore,0.8095238010088602,0.07009332253326854,3
corruption_strategies,wine,marginal_zscore,0.9351851940155029,0.02618912443400231,3
corruption_strategies,glass,mean_minmax,0.5151515305042267,0.1022025658658238,3
corruption_strategies,pima-diabetes,mean_minmax,0.7294372320175171,0.04014552111791638,3
corruption_strategies,sonar,mean_minmax,0.6904761791229248,0.07776157450102261,3
corruption_strategies,wine,mean_minmax,0.8611111044883728,0.10393492918038894,3
corruption_strategies,glass,mean_zscore,0.5984848340352377,0.08367697135248019,3
corruption_strategies,pima-diabetes,mean_zscore,0.7554112672805786,0.012244249548293869,3
corruption_strategies,sonar,mean_zscore,0.7142857114473978,0.08473871681762915,3
corruption_strategies,wine,mean_zscore,0.9444444378217062,0.039283700699952975,3
corruption_strategies,glass,missing_feature_minmax,0.39393940567970276,0.042854957712725565,3
corruption_strategies,pima-diabetes,missing_feature_minmax,0.7294372320175171,0.02207365816684134,3
corruption_strategies,sonar,missing_feature_minmax,0.6984126965204874,0.011223930541643138,3
corruption_strategies,wine,missing_feature_minmax,0.8148148059844971,0.02618912443400231,3
corruption_strategies,glass,missing_feature_zscore,0.5681818226973215,0.08503767174304738,3
corruption_strategies,pima-diabetes,missing_feature_zscore,0.761904756228129,0.018619735222883693,3
corruption_strategies,sonar,missing_feature_zscore,0.7936507860819498,0.07856742949780494,3
corruption_strategies,wine,missing_feature_zscore,0.9722222089767456,0.0,3
corruption_strategies,glass,none_minmax,0.5000000099341074,0.08088695746978025,3
corruption_strategies,pima-diabetes,none_minmax,0.7142857114473978,0.05903974686813813,3
corruption_strategies,sonar,none_minmax,0.6666666865348816,0.038880787250511306,3
corruption_strategies,wine,none_minmax,0.9259259303410848,0.013094548168051652,3
corruption_strategies,glass,none_zscore,0.5227272808551788,0.049096515007777494,3
corruption_strategies,pima-diabetes,none_zscore,0.7683982650438944,0.02007274663306781,3
corruption_strategies,sonar,none_zscore,0.7936508059501648,0.02244783298538727,3
corruption_strategies,wine,none_zscore,0.9166666666666666,0.06804138985514341,3
