ablation,dataset,variant,mean_acc,std_acc,n_trials
batch_size,glass,batch_128,0.4999999900658925,0.018556734945291847,3
batch_size,pima-diabetes,batch_128,0.7900432745615641,0.020072774484848746,3
batch_size,sonar,batch_128,0.8015873034795126,0.07856741745584947,3
batch_size,wine,batch_128,0.9444444378217062,0.039283700699952975,3
batch_size,glass,batch_16,0.6515151460965475,0.04670011311521287,3
batch_size,pima-diabetes,batch_16,0.7683982451756796,0.01704331318176724,3
batch_size,sonar,batch_16,0.7857142885526022,0.05832118087576865,3
batch_size,wine,batch_16,0.9259259104728699,0.0472131388820167,3
batch_size,glass,batch_256,0.5303030411402384,0.13033825973215826,3
batch_size,pima-diabetes,batch_256,0.7532467643419901,0.019116345352490616,3
batch_size,sonar,batch_256,0.7936507860819498,0.10706934524902757,3
batch_size,wine,batch_256,0.9537037014961243,0.034644971083463934,3
batch_size,glass,batch_4,0.5151515106360117,0.05669176169201734,3
batch_size,pima-diabetes,batch_4,0.7142857313156128,0.01911637234807719,3
batch_size,sonar,batch_4,0.761904776096344,0.1028688938432637,3
batch_size,wine,batch_4,0.9074074029922485,0.034644971083463934,3
batch_size,glass,batch_512,0.5227272709210714,0.018556747112043,3
batch_size,pima-diabetes,batch_512,0.7813852628072103,0.01704331318176724,3
batch_size,sonar,batch_512,0.8333333333333334,0.05143445611882931,3
batch_size,wine,batch_512,0.9537037014961243,0.02618912443400231,3
batch_size,glass,batch_64,0.6060605843861898,0.074996176499018,3
batch_size,pima-diabetes,batch_64,0.7662337422370911,0.009183208234644658,3
batch_size,sonar,batch_64,0.7460317413012186,0.11054276750095703,3
batch_size,wine,batch_64,0.935185174147288,0.013094548168051652,3
